"Schwarzhandel","","Agiotage (oesterr.) Schleichhandel (oesterr.) Schwarzmarkt"
"Presslufterzeuger","","Luftkompressor Luftpresser Drucklufterzeuger"
"manuelle Arbeit","","Handarbeit"
"zuruecknehmen","","annullieren widerrufen zurueckrufen abbestellen"
"Nullwachstum","","Stagnation Wachstumsstillstand"
"Betonmischer","","Betonmischmaschine"
"Verzoegerung","","Stoerung Obstruktion Behinderung Widerstand Blockierung"
"Buchfuehrung","","Buchhaltung"
"(aufbauender) Stoffwechsel","","Metabolismus (fachspr., griechisch)"
"ruetteln","","schuetteln"
"Konferenzraum","","Sitzungszimmer"
"Antidiabetikum (fachspr.)","","Blutzucker senkendes Mittel"
"nicht einsteigen auf","","nicht (weiter) beachten hinweggehen ueber links liegen lassen (ugs.) (einfach) uebergehen"
"Rollen (eines Schiffes)","","Schlingern"
"akklamieren (oesterr.)","","Beifall spenden in die Haendchen patschen (ugs., abwertend) klatschen Applaus spenden Beifall zollen (geh.) beklatschen (die) Haende ruehren (geh.) applaudieren (Hauptform) (mit) Beifall bedenken (geh.)"
"getuerkt (ugs.)","","unrichtig gefaelscht unwahr erfunden falsch unecht"
"Zusammenwicklung","","Spiralwindung Windung Zusammenrollung"
"Dreifeld...","","dreifeldrig"
"verwesen","","(sich) zersetzen verfallen (sich) aufloesen"
"Gegenmittel","","Gegengift Antidoton (fachspr.) Antidot (fachspr.)"
"verfilzt","","filzig"
"Speisespannung","","Einspeisespannung"
"zusammenpassen","","(sich) decken uebereinstimmen"
"Kommission der Vereinten Nationen fuer internationales Handelsrecht","","UNCITRAL"
"die Augenheilkunde betreffend","","ophthalmologisch (fachspr.)"
"Softwareaktualisierung","","Upgrade (engl.) verbesserte Version Aktualisierung Update (engl.)"
"Supplement","","Ergaenzung (zu)"
"Unicast (fachspr.)","","Verbindung mit einem Ziel"
"Schwungrad","","Schwungscheibe Schwungmasse"
"erst wenn","","bis (in, zu) bis (dass)"
"Branche","","Industriebranche Industriezweig"
"lechzen (nach)","","vergehen (nach) schmachten (nach) verschmachten (nach) (sich) verzehren nach (sich) sehnen (nach) gieren (nach) duersten (nach) (geh., poetisch) (etwas) sehnlichst vermissen fiebern nach (instaendig) verlangen (nach)"
"praxisnah","","praxisbezogen praxisorientiert praxisgerecht"
"charakterfest","","(Ritter) ohne Furcht und Tadel geradlinig unerschuetterlich unbeirrbar charakterstark gradlinig"
"Durchlassspannung","","Vorwaertsspannung"
"paternalistisch","","autoritaer obrigkeitlich bevormundend herrisch"
"lebensbedrohlich","","selbstmoerderisch halsbrecherisch lebensgefaehrlich"
"Paranoia","","systematisierter Wahn Verfolgungswahn (ugs.)"
"Seetaucher","","Haubentaucher"
"Gehoer schaedigend","","ototoxisch (fachspr.)"
"Florettgarn","","ungezwirntes Seidengarn"
"Genitiv","","2. Fall Genitivus (fachspr.) Wessen-Fall Wes-Fall zweiter Fall Zeugefall Genetiv (veraltet) Wesfall Wessenfall"
"Rendite","","Ertrag Marge Ueberschuss Gewinn Verdienstspanne Ausbeute Gewinnspanne Erloes Gewinnmarge Profit"
"paepstlicher Erlass","","Enzyklika paepstliche Bulle Bulle (fachspr.)"
"schwer verstaendlich","","unklar schlecht artikuliert unartikuliert verwaschen (Aussprache) undeutlich"
"außerplanmaeßig","","unplanmaeßig nachtraeglich zusaetzlich"
"Wildreservat","","Wildschutzgebiet"
"Thrombozytopenie (fachspr.)","","Thrombopenie Verminderung der Blutplaettchenzahl"
"Sportler","","Sportskanone (ugs.) Athlet Sportsmann"
"Konsultation","","Beratung Gespraech Besprechung Consulting (fachspr.)"
"Extension","","Zuwachs Ausdehnung Expansion Ausweitung"
"blutdrucksteigernd","","vasopressorisch (fachspr.)"
"auspressen","","exprimieren ausquetschen ausdruecken auswringen"
"weniger bedeutend","","minder geringer weniger kleiner"
"knochig","","knochenduerr"
"Windung","","Kringel Ring"
"kauen","","beißen"
"(sich) langsam entfernen (von)","","(sich) davonstehlen (sich) einen schlanken Fuß machen (sprichwoertlich) (sich) fortstehlen"
"außerschulisch","","außerhalb des Lehrplanes"
"Tagesraum","","Aufenthaltsraum Foyer Gesellschaftsraum"
"Verkehrsader","","Ausfallstraße"
"Deckungsloch (im Haushalt)","","Deckungsluecke"
"Einspruch erheben","","Beschwerde einlegen (gegen/bei)"
"Schulthek (schweiz.)","","Ranzen Buechertasche Schulrucksack Schulranzen Schultasche Tornister"
"zustoepseln","","pfropfen"
"mit Bedacht","","bedaechtig behutsam wohlueberlegt umsichtig schonend bedachtsam"
"aufgeilen (ugs.)","","auf Touren bringen ansexen (ugs.) anmachen heißmachen (ugs.) geil machen (derb) (jemanden) anspitzen (ugs.) anturnen (ugs.) antoernen (ugs.) scharfmachen (ugs.) (jemanden) erregen (Hauptform)"
"Sortimentsbuchhandel","","Buchgeschaeft Bucheinzelhandel Buchladen Buchhandlung (Hauptform) Buchhaendler"
"Hospitalisierung (fachspr.)","","Aufnahme in ein Krankenhaus"
"Rueckenwirbel","","Wirbel (ugs.) Wirbelknochen"
"dummes Geschwaetz (ugs.)","","Faselei (ugs.)"
"Webangebot","","Internetangebot Netzauftritt Netzseite Netzpraesenz Onlinepraesenz (ugs.) Webpraesenz Web-Angebot Webauftritt Website (engl., Hauptform) Internetpraesenz Internetauftritt Homepage (engl.) Netzplatz Internetseite Webseite WWW-Seite"
"moderig","","uebel riechend muffig miefig mefitisch (geh., veraltet) uebelriechend modrig stinkend mephitisch (geh., veraltet)"
"(eine) Mahlzeit zu sich nehmen","","zu Tisch sein (Arbeitswelt) schmausen (ugs.) tafeln (geh.) speisen essen dinieren (geh.)"
"SED","","Sozialistische Einheitspartei Deutschlands"
"muhen","","bloeken (Rind)"
"wohlklingend","","volltoenend klangvoll sonor"
"Tiergarten","","Zoo Tierpark Zoologischer Garten (fachspr.)"
"Kropf (ugs.)","","Schilddruesenvergroeßerung Struma (fachspr.) Satthals (veraltet)"
"Keks","","Kraecker"
"Block","","Schreibblock Notizblock"
"Schwaden","","Dampf"
"uneingeschraenktes Recht","","absolutes Recht"
"gebuehrend","","reichlich (ugs.) hinreichend in Maßen ueber Mangel an (etwas) kann sich niemand beklagen (floskelhaft, variabel) satt (nachgestellt) (ugs.) genug hinlaenglich zur Genuege (es) reicht genuegend ausreichend sattsam"
"ueberpruefen","","validieren verifizieren bestaetigen"
"Lueckenlosigkeit","","Vollstaendigkeit Vollzaehligkeit"
"Wimperntusche","","Mascara Wimpernfaerbung Wimpernbetonung"
"Keuchhusten","","Pertussis (fachspr.) Stickhusten (ugs.)"
"Kettenkraut (ugs.)","","Pusteblume (ugs.) Moenchsblume (ugs.) Milchstock (ugs.) Schmalzbleaml (ugs.) Loewenzahn Saublume (schweiz.) Hundeblume Laternenblume (ugs.) Wiesenlattich (ugs.)"
"Rueckkuehler","","Waermetauscher"
"Gewohnheit","","Angewohnheit Gepflogenheit"
"Anbruch","","In-Kraft-Treten Beginn Aktivierung"
"Sourcecode (engl.)","","Programmcode Code Quelltext Quellcode Kode Source (engl.)"
"durchgedreht","","aufgeloest hysterisch"
"Erniedrigung","","Absetzung"
"lossprechen (von)","","fuer unschuldig erklaeren fuer unschuldig befinden von jeder Schuld freisprechen freisprechen"
"Lichtschein","","Lichtstrahl Strahl Lichtstreif Schein"
"folgenderweise","","folgendermaßen wie folgt"
"neu schreiben","","umschreiben"
"Fassung","","Version Ausgabe"
"Holzscheiter (veraltet)","","Holzscheit Scheit"
"Entzuecken","","Vergnuegen Wonne"
"Sterbensforscher","","Thanatologe"
"Transilvania (rumaenisch)","","Transsylvanien Erdély (ungarisch) Transsilvania (lat.) Siebenbuergen Transsilvanien Ardeal (rumaenisch)"
"artig","","gefuegig konditioniert lieb (Kindersprache) brav anstaendig gehorsam fuegsam folgsam"
"Vergiftung durch Mutterkorn","","Kriebelkrankheit Antoniusfeuer Ignis sacer (lat.) Ergotismus (fachspr.)"
"Ergebnis","","Erfolg Jahresabschluss Bilanz Bilanzaufstellung"
"liken (ugs., engl.)","","(sich) loben (geh.) moegen eine Vorliebe haben fuer gerne moegen (ganz) begeistert sein von (sich) begeistern fuer ich lobe mir (geh.) abfahren auf (ugs.) (etwas) fuer gut befinden stehen auf (ugs.) (jemandem) belieben"
"o. k. (ugs.)","","alles paletti! (ugs.) so machen wir's! (ugs.) (geht) in Ordnung d'accord (ugs., franz.) es sei! (geh., veraltet) dein Wille geschehe (biblisch, veraltet, auch ironisch) (geh.) ich nehme dich beim Wort! okay (ugs.) genehmigt! (ist) gemacht! (ugs.) gut (ugs.) machen wir! das ist ein Wort! (ugs.) abgemacht ist recht! (ugs., regional) so sei es! (geh., veraltet) okey-dokey (ugs.) es geschehe (mir) nach deinen Worten (biblisch, veraltet, auch ironisch) (geh.) roger! (ugs., engl., selten) akzeptiert (ist) gebongt! (ugs.) schon ueberredet! (ugs.) warum nicht?! (ugs.) alles klar! (ugs.) O. K. (ugs.) einverstanden (Hauptform) geht klar (ugs.) da sage ich nicht nein schoen (ugs.)"
"Holzproduktion","","Holzerzeugung Forstwirtschaft Forstwesen Waldwirtschaft Waldbau"
"kleine Staerkung","","Zwischendurch-Mahlzeit Gabelbissen Bissen (ugs.) Gabelfruehstueck Vesper Happen (ugs.) Jause (oesterr.) Imbiss (Hauptform) Jausenbrot (oesterr.) Haeppchen Marende (regional) Pausenbrot Imbs (regional) Zvieri (schweiz.) Znueni (schweiz.) Brotzeit (ugs., sueddt.) Neinerln (oesterr.) Staerkung (ugs.) Unternessen (oesterr.) leichte Mahlzeit Snack Fingerfood (engl.) Zwischenmahlzeit Lunchpaket"
"selbstschließend","","automatisch schließend"
"Test","","Erprobung Versuch Pruefung Probe"
"zur Arterhaltung beitragen (biologisch)","","(sich) fortpflanzen Kinder haben Kinder in die Welt setzen vermehren Junge haben (sich) vermehren Kinder kriegen (ugs.) (sich) vermehren wie die Karnickel (ugs., abwertend) (sich) reproduzieren (fachspr., biologisch)"
"Marktlage","","Marktgeschehen"
"zerplatzen","","knallen peng machen (ugs.)"
"Wassergraben","","Bach Fluesschen"
"gutheißen","","akzeptieren goutieren billigen"
"Combo","","Ensemble Musikkapelle Band Kapelle Musikgruppe Gruppe Formation"
"Pastell","","Pastellton"
"Pampe (derb)","","Mus Brei Pudding Creme breiige Masse"
"Allergen (fachspr.)","","Allergiestoff"
"Zettel (Jargon)","","Kettenfaeden Kette"
"Virilisierung (fachspr.)","","Vermaennlichung Maskulinisierung Virilismus (fachspr.)"
"Bank","","Sitzbank"
"Synovialitis (fachspr.)","","Entzuendung der Gelenkinnenhaut"
"gelber Fleck","","Makula (fachspr.) Stelle des schaerfsten Sehens im Auge"
"Justizvollzugsbeamter (fachspr.)","","Kerkermeister Gefangenenwaerter Waerter Gefaengniswaerter Schließer"
"vorschriftsmaeßig","","laut Satzung laut Vorschrift"
"wieder aufgreifen","","wieder aufnehmen"
"Zuverlaessigkeit","","Gewissheit Klarheit Unzweifelhaftigkeit Sicherheit"
"vorurteilsfrei","","aufgeklaert realistisch"
